序号,案件类型,证据1,证据2,证据3
147,非法拘禁,解救过程记录,执法行动证据,司法处理结果
148,非法拘禁,作案工具扣押,通讯设备分析,策划过程调查
149,非法拘禁,绳索捆绑工具,现场监控录像,伤情鉴定报告
150,非法拘禁,作案工具扣押,通讯设备分析,策划过程调查
151,非法武器交易,非制式枪支,跨境走私,黑火药
152,非法武器交易,非国家武装团体（NSAG）,私藏军用枪,以物易枪
153,非法武器交易,边境偷渡运输,仿秃鹰气枪,铅弹模具
154,非法武器交易,非法代购,墨西哥海湾卡特尔,手榴弹
155,非法武器交易,改装射钉枪,地下交易网络,导火索
156,非法武器交易,无国界武装组织,邮寄枪支配件,制式弹药
157,非法武器交易,小武器轻武器（SALW）,中转倒卖,雷管
158,非法武器交易,非法制造,火箭推进榴弹（RPG）,隐蔽运输
159,非法武器交易,武器黑市交易,毒贩卡特尔,枪支零部件
160,非法武器交易,军火中介,爆炸装置,黑市兜售
161,非法经营,经营场所勘查,设备工具扣押,业务模式分析
162,非法经营,交易记录收集,资金流水分析,获利金额统计
163,非法经营,客户信息调查,服务内容确认,投诉举报记录
164,非法经营,法律责任认定,处罚决定执行,整改措施落实
165,非法经营,无许可证明文件,银行流水交易记录,涉案商品扣押清单
166,非法经营,无许可证明,经营范围调查,处罚记录查询
167,非法经营,法律责任认定,处罚决定执行,整改措施落实
168,非法经营,无许可证明文件,银行流水交易记录,涉案商品扣押清单
169,非法经营,客户信息调查,服务内容确认,投诉举报记录
170,非法经营,无许可证明文件,银行流水交易记录,涉案商品扣押清单
171,非法行医,无资质证明,执业许可调查,处罚记录查询
172,非法行医,非法获利统计,收费标准调查,税务处理异常
173,非法行医,虚假宣传证据,疗效承诺夸大,消费者投诉记录
174,非法行医,医疗事故证据,患者伤害记录,赔偿责任认定
175,非法行医,药品器械扣押,来源渠道调查,使用规范违反
176,非法行医,无医师资格证证明,现场查获药品器械,患者伤情鉴定报告
177,非法行医,医疗事故证据,患者伤害记录,赔偿责任认定
178,非法行医,药品器械扣押,来源渠道调查,使用规范违反
179,非法行医,虚假宣传证据,疗效承诺夸大,消费者投诉记录
180,非法行医,药品器械扣押,来源渠道调查,使用规范违反
181,非法采集生物识别,眼纹特征数据,未经告知持续采集,伪造身份渗透涉密场所
182,非法采集生物识别,动态人脸识别设备,植入后门程序窃取,出售给黑灰组织
183,非法采集生物识别,DNA 序列信息,巧立名目扫描收集,用于精准窃密
184,非法采集生物识别,人脸印（faceprint）,捆绑授权骗取采集,构建非法识别系统
185,非法采集生物识别,掌纹生物标识符,过度采集后未加密,被黑客截取泄露
186,非法采集生物识别,步态特征数据集,公共区域无差别抓取,提供给间谍机构
187,非法采集生物识别,声纹采集模块,伪装服务强制录入,用于身份冒用
188,非法采集生物识别,指纹模板数据,破解支付系统数据库,批量倒卖牟利
189,非法采集生物识别,人脸向量数据库,爬取社交媒体人脸图像,未获单独同意存储
190,非法采集生物识别,隐秘红外成像设备,窃取虹膜纹路数据,转移境外服务器
191,非法集资,组织者身份,幕后操控证据,法律责任认定
192,非法集资,银行账户流水,资金转移记录,资产冻结情况
193,非法集资,海外账户资金转移,未知社交网站宣传,高额返利诱惑投资
194,非法集资,虚假项目宣传,投资回报承诺,宣传材料收集
195,非法集资,资金池操作,拆东墙补西墙,资金链断裂证据
196,非法集资,投资者名单,投资金额统计,损失金额计算
197,非法集资,虚假项目宣传,投资回报承诺,宣传材料收集
198,非法集资,资金池操作,拆东墙补西墙,资金链断裂证据
199,非法集资,海外账户资金转移,未知社交网站宣传,高额返利诱惑投资
200,非法集资,资金池操作,拆东墙补西墙,资金链断裂证据
201,黑客攻击,文件上传漏洞,图片马,绕过校验获取服务器 Shell 权限
202,黑客攻击,缓冲区溢出,Rootkit 隐藏程序,长期潜伏窃取敏感数据
203,黑客攻击,WebShell 后门,暴力破解（SSH）,远程操控服务器上传恶意文件
204,黑客攻击,分布式攻击,僵尸网络控制,命令控制服务器
205,黑客攻击,物联网设备攻击,智能家居控制,摄像头监控
206,黑客攻击,木马程序植入系统,操作系统漏洞利用,远程控制服务器
207,黑客攻击,QL 注入,RemCos 木马,窃取数据库用户凭据
208,黑客攻击,网络钓鱼,Crysan 后门,窃取用户键盘记录与截图
209,黑客攻击,DNS 劫持,中间人攻击（MITM）,重定向用户访问恶意网址
210,黑客攻击,网站篡改证据,后门程序植入,管理员权限获取
211,伪造法律证据,伪造武器买卖合同,私刻军火商公章,篡改交易金额条款
212,伪造法律证据,编造武器运输物流单,AI 合成交易聊天记录,伪造海关通关文件
213,伪造法律证据,伪造武器技术参数表,转移隐匿涉案武器,伪造买卖双方授权书
214,伪造法律证据,篡改武器交易时间戳,制作虚假交易截图,妨害证人如实作证
215,伪造法律证据,编造武器库存清单,恶意串通虚构债务,伪造收货确认回执
216,伪造法律证据,伪造武器进口许可证,剪辑交易谈判录音,仿刻军方采购印章
217,伪造法律证据,篡改武器型号证明,贿买鉴定人出虚假报告,伪造资金转账凭证
218,伪造法律证据,伪造武器合格证,串供作虚假证言,隐匿真实交易流水
219,伪造法律证据,编造武器检测报告,拼接虚假邮件往来,帮助毁灭交易证据
220,伪造法律证据,伪造武器权属证明,变更交易文件元数据,出具虚假资产评估报告
221,偷拍与窃取隐私视频,窃听偷拍设备,公共场合仰拍走光,会员制资源下载
222,偷拍与窃取隐私视频,散布他人隐私,定制场景偷拍,社交平台引流变现
223,偷拍与窃取隐私视频,侵犯公民个人信息罪,裙底偷拍,付费福利群传播
224,偷拍与窃取隐私视频,MaskPark 类境外群组,街拍人脸特写,按条售卖偷拍资源
225,偷拍与窃取隐私视频,针孔摄像头,酒店偷录,网盘售卖隐私视频
226,偷拍与窃取隐私视频,伪装式录音笔,商场厕所窃拍,境外论坛资源征集
227,偷拍与窃取隐私视频,传播淫秽物品牟利罪,地铁隐蔽拍摄,第三方社交软件交易
228,偷拍与窃取隐私视频,偷拍创作团队,私密部位聚焦拍摄,资源分成变现
229,偷拍与窃取隐私视频,隐蔽式背包摄像头,窥视他人私密活动,定金定制偷拍内容
230,偷拍与窃取隐私视频,非法获取公民个人信息,浴室偷拍,无码视频网盘分享
231,偷渡,组织者身份,招募记录调查,收费标准确认
232,偷渡,偷渡人员证词,行程路线描述,危险情况报告
233,偷渡,境外接应证据,住宿记录调查,身份文件伪造
234,偷渡,打击行动记录,涉案人员处理,国际合作证据
235,偷渡,边境监控录像,越境地点确认,交通工具扣押
236,偷渡,边境卡口抓拍影像,加密软件聊天记录,偷渡费用现金收据
237,偷渡,打击行动记录,涉案人员处理,国际合作证据
238,偷渡,边境监控录像,越境地点确认,交通工具扣押
239,偷渡,境外接应证据,住宿记录调查,身份文件伪造
240,偷渡,边境监控录像,越境地点确认,交通工具扣押
241,偷税漏税,空壳公司洗钱,股权包装避税,离岸公司资金转移
242,偷税漏税,发票虚开记录,抵扣税款凭证,税务稽查报告
243,偷税漏税,关联交易转移,利润转移定价,跨境避税安排
244,偷税漏税,成本费用虚增,资产折旧调整,财务报表造假
245,偷税漏税,阴阳合同证据,真实交易记录,虚假申报材料
246,偷税漏税,个人账户收款,企业账户走账,资金流水分析
247,偷税漏税,成本费用虚增,资产折旧调整,财务报表造假
248,偷税漏税,阴阳合同证据,真实交易记录,虚假申报材料
249,偷税漏税,关联交易转移,利润转移定价,跨境避税安排
250,偷税漏税,阴阳合同证据,真实交易记录,虚假申报材料
251,冒名顶替,法律责任追究,刑事处罚记录,社会影响评估
252,冒名顶替,制度漏洞分析,监管措施缺失,预防改进建议
253,冒名顶替,受害损失统计,赔偿责任认定,恢复原状证据
254,冒名顶替,顶替过程调查,参与人员身份,利益关系分析
255,冒名顶替,身份文件伪造,笔迹鉴定证据,指纹比对结果
256,冒名顶替,伪造身份证使用,学籍档案篡改,笔迹司法鉴定报告
257,冒名顶替,顶替过程调查,参与人员身份,利益关系分析
258,冒名顶替,身份文件伪造,笔迹鉴定证据,指纹比对结果
259,冒名顶替,受害损失统计,赔偿责任认定,恢复原状证据
260,冒名顶替,身份文件伪造,笔迹鉴定证据,指纹比对结果
261,军事泄密,境外机构联系,资金支持记录,指令接收证据
262,军事泄密,电子设备扣押,数据恢复分析,通讯内容提取
263,军事泄密,内部人员勾结,利益输送证据,策反过程调查
264,军事泄密,军事基地测绘,敏感区域拍照,地理坐标记录
265,军事泄密,机密文件复制,传输渠道调查,接收方身份确认
266,军事泄密,高清摄像机拍摄,望远镜观测军事基地,假护照跨境传递
267,军事泄密,军事基地测绘,敏感区域拍照,地理坐标记录
268,军事泄密,机密文件复制,传输渠道调查,接收方身份确认
269,军事泄密,内部人员勾结,利益输送证据,策反过程调查
270,军事泄密,机密文件复制,传输渠道调查,接收方身份确认
271,制作武器,3D打印枪支,金属零件加工,弹药装填设备
272,制作武器,弩箭制作工具,箭头毒药涂抹,射程测试数据
273,制作武器,火药制作原料,引爆装置组装,测试爆炸记录
274,制作武器,自制炸弹配方,化学原料采购,组装过程视频
275,制作武器,电击武器制作,高压变压器,电极材料购买
276,制作武器,硝酸甘油爆炸物制作,钢珠弹丸装填,引线雷管组装
277,制作武器,自制炸弹配方,化学原料采购,组装过程视频
278,制作武器,电击武器制作,高压变压器,电极材料购买
279,制作武器,火药制作原料,引爆装置组装,测试爆炸记录
280,制作武器,电击武器制作,高压变压器,电极材料购买
281,制作色情内容,编写露骨色情小说,组织卖淫窝点,传播未成年人淫秽电子信息
282,制作色情内容,摄制淫秽视频,淫秽光盘,批发销售色情制品
283,制作色情内容,录制淫秽语音,卖淫嫖娼中介,出租淫秽音像制品
284,制作色情内容,翻拍淫秽图片,淫秽网站运营,收取色情内容会员注册费
285,制作色情内容,印刷淫秽书刊,招募卖淫人员,通过即时通讯软件传播色情信息
286,制作色情内容,译著淫秽读物,色情交易中介平台,有偿提供淫秽视频点播服务
287,制作色情内容,复录淫秽影像,色情内容制作工作室,倒卖淫秽电子刊物
288,制作色情内容,绘制色情插画,强迫他人拍摄色情视频,利用论坛发布淫秽图片
289,制作色情内容,刻制淫秽光盘,淫秽信息传播群组,售卖涉性暴力色情内容
290,制作色情内容,洗印淫秽照片,引诱未成年人参与色情制作,邮寄淫秽物品
291,制毒,隐蔽小屋,跨区域运输,粗制鸦片
292,制毒,吗啡碱,熬制提炼,反应釜
293,制毒,海洛因,转移物资,防水油布
294,制毒,海洛因,离心机,反应釜
295,制毒,抽滤瓶,销毁证据,半成品储存
296,制毒,乙酰化反应,密封铁罐,制毒窝点
297,制毒,无水乙醇,单线联络,制毒原料
298,制毒,三氯甲烷,提纯结晶,防毒面具
299,制毒,醋酸酐,非法合成,离心机
300,制毒,固液分离,现金交易,制毒设备
301,制造假币,涂改货币,假币半成品,暴力抗拒检查假币
302,制造假币,运输假币,假币收缴后截留,利用职务换取假币
303,制造假币,倒卖 “黄货”（20 元假币）,揭层变造货币,提供制假技术支持
304,制造假币,贩运假币,真伪拼凑货币,向走私分子收买假币
305,制造假币,使用假币,地下制假作坊,邮寄假币出入境
306,制造假币,持有假币,假币犯罪集团,挖补真币升值
307,制造假币,走私假币,专用防伪油墨,批量印刷假钞
308,制造假币,变造货币,改装打印机,出售 “红牛” 假币
309,制造假币,伪造货币,空白安全线防伪纸,武装贩运假币
310,制造假币,印刷假币,特种防伪纸,投放假币流通
311,制造恶意软件与病毒,编写勒索软件,搭建 C2 命令与控制服务器,捆绑 XMRig 挖矿程序
312,制造恶意软件与病毒,传播 WannaCry 变种,利用 Log4Shell 漏洞入侵,加密用户核心数据
313,制造恶意软件与病毒,开发僵尸程序,组建肉鸡网络,执行 DDoS 攻击
314,制造恶意软件与病毒,编译跨平台恶意代码,利用 Apache ActiveMQ 漏洞,建立持久化感染链
315,制造恶意软件与病毒,分发 Trojan 木马,篡改注册表自启动项,远程控制目标设备
316,制造恶意软件与病毒,制作伪装补丁包,植入后门程序,窃取敏感信息
317,制造恶意软件与病毒,预置硬件恶意代码,篡改 Docker 镜像,禁用终端防护程序
318,制造恶意软件与病毒,构建钓鱼邮件,夹带恶意脚本 ce.sh,抹除攻击操作痕迹
319,制造恶意软件与病毒,售卖专门入侵工具,教授漏洞利用技术,提供挖矿钱包地址
320,制造恶意软件与病毒,传播蠕虫病毒,自我复制扩散,占用网络系统资源
321,化学武器制作,武器化改装,投放装置制作,效果测试数据
322,化学武器制作,防护装备检测,暴露人员症状,医疗诊断报告
323,化学武器制作,实验室设备扣押,化学反应记录,毒剂合成配方
324,化学武器制作,剧毒化学品购买,运输记录追踪,使用目的调查
325,化学武器制作,盐酸混合制作,氯化物提纯,氰化物合成
326,化学武器制作,恐怖组织关联,培训记录调查,资金支持证据
327,化学武器制作,剧毒化学品购买,运输记录追踪,使用目的调查
328,化学武器制作,盐酸混合制作,氯化物提纯,氰化物合成
329,化学武器制作,实验室设备扣押,化学反应记录,毒剂合成配方
330,化学武器制作,盐酸混合制作,氯化物提纯,氰化物合成
331,商业贿赂,利益输送协议,项目中标记录,竞争关系调查
332,商业贿赂,回扣比例约定,佣金支付记录,税务处理异常
333,商业贿赂,内部举报证据,证人保护措施,公司纪律处分
334,商业贿赂,加密货币贿赂转账,虚假合同走账,项目审批暗箱操作
335,商业贿赂,贿赂资金流水,现金交易记录,账户异常变动
336,商业贿赂,礼品赠送证据,高档商品购买,收礼人身份确认
337,商业贿赂,加密货币贿赂转账,虚假合同走账,项目审批暗箱操作
338,商业贿赂,贿赂资金流水,现金交易记录,账户异常变动
339,商业贿赂,内部举报证据,证人保护措施,公司纪律处分
340,商业贿赂,贿赂资金流水,现金交易记录,账户异常变动
341,学术造假,科研经费滥用,虚假项目申报,发票伪造记录
342,学术造假,学历证书造假,成绩单修改,入学资格审查
343,学术造假,实验数据伪造,图表篡改证据,同行评议质疑
344,学术造假,论文代写服务,学术不端检测,抄袭比对报告
345,学术造假,伪造准考证替考,论文抄袭检测报告,虚假身份信息入学
346,学术造假,学术会议作弊,论文挂名交易,影响因子买卖
347,学术造假,论文代写服务,学术不端检测,抄袭比对报告
348,学术造假,伪造准考证替考,论文抄袭检测报告,虚假身份信息入学
349,学术造假,实验数据伪造,图表篡改证据,同行评议质疑
350,学术造假,伪造准考证替考,论文抄袭检测报告,虚假身份信息入学
351,强奸,生物物证检测,DNA匹配证据,身份识别确认
352,强奸,反抗伤痕鉴定,暴力胁迫证据,自愿性认定
353,强奸,酒精药物检测,意识状态判断,自愿性认定
354,强奸,目击者证词,监控录像分析,作案过程还原
355,强奸,反抗伤痕鉴定,暴力胁迫证据,现场勘查记录
356,强奸,证人证词收集,监控录像分析,作案工具扣押
357,强奸,心理评估报告,行为模式分析,前科记录调查
358,强奸,精斑DNA鉴定,反抗伤痕鉴定,及时报案记录
359,强奸,避孕套DNA鉴定,手铐限制人身,皮鞭暴力胁迫
360,强奸,心理评估报告,行为模式分析,前科记录查询
361,恐怖活动招募,圣战招募,训练营名额,偷渡通道
362,恐怖活动招募,暴力圣战动员,新血吸纳,身份隐匿培训
363,恐怖活动招募,圣战者征召令,境外参战名额,伪造身份证件
364,恐怖活动招募,极端教义宣讲,招募联络员,秘密据点
365,恐怖活动招募,极端思想洗脑,招募下线,武器获取渠道
366,恐怖活动招募,殉道者招募,资金资助承诺,跨境接头暗号
367,恐怖活动招募,圣战先锋队吸纳,体能特训营,反侦查技巧传授
368,恐怖活动招募,极端组织扩编,招募考核,非法越境路线
369,恐怖活动招募,圣战使命感召,成员发展指标,通讯加密工具
370,恐怖活动招募,恐怖骨干招募,行动任务分配,藏匿窝点坐标
371,拐卖妇女儿童,解救过程记录,安置情况跟踪,心理辅导证据
372,拐卖妇女儿童,中间人证词,网络联系记录,资金转账凭证
373,拐卖妇女儿童,运输路线追踪,交通工具扣押,中转地点调查
374,拐卖妇女儿童,受害者身份确认,家庭关系调查,失踪报案记录
375,拐卖妇女儿童,DNA亲缘鉴定报告,收买人转账记录,藏匿地点物证
376,拐卖妇女儿童,收买人身份,交易价格记录,虐待证据收集
377,拐卖妇女儿童,受害者身份确认,家庭关系调查,失踪报案记录
378,拐卖妇女儿童,DNA亲缘鉴定报告,收买人转账记录,藏匿地点物证
379,拐卖妇女儿童,运输路线追踪,交通工具扣押,中转地点调查
380,拐卖妇女儿童,DNA亲缘鉴定报告,收买人转账记录,藏匿地点物证
381,挪用公款,用途证明伪造,虚假项目申报,审计发现问题
382,挪用公款,长期占用证据,影响评估报告,纪律处分决定
383,挪用公款,审批程序违法,授权范围调查,责任人员认定
384,挪用公款,资金流向追踪,账户异常变动,用途改变证据
385,挪用公款,归还情况跟踪,利息计算证据,损失赔偿记录
386,挪用公款,违规转账私人账户,投资协议挪用,虚假审批单操作
387,挪用公款,资金流向追踪,账户异常变动,用途改变证据
388,挪用公款,归还情况跟踪,利息计算证据,损失赔偿记录
389,挪用公款,审批程序违法,授权范围调查,责任人员认定
390,挪用公款,归还情况跟踪,利息计算证据,损失赔偿记录
391,故意伤害,作案动机调查,矛盾冲突记录,前科行为分析
392,故意伤害,作案工具刀棍,伤情鉴定报告,现场血迹DNA
393,故意伤害,伤害程度鉴定,医疗记录收集,伤残等级确认
394,故意伤害,作案工具扣押,痕迹物证分析,身份识别证据
395,故意伤害,目击者证词,监控录像分析,作案过程还原
396,故意伤害,法律责任认定,处罚决定执行,赔偿协议履行
397,故意伤害,作案工具扣押,痕迹物证分析,身份识别证据
398,故意伤害,目击者证词,监控录像分析,作案过程还原
399,故意伤害,伤害程度鉴定,医疗记录收集,伤残等级确认
400,故意伤害,目击者证词,监控录像分析,作案过程还原
401,敲诈勒索,多次作案记录,犯罪模式分析,社会影响评估
402,敲诈勒索,犯罪工具扣押,通讯设备分析,身份识别证据
403,敲诈勒索,受害者证词,心理恐惧证据,被迫支付记录
404,敲诈勒索,威胁信件物证,恐吓电话录音,勒索金额确认
405,敲诈勒索,勒索短信恐吓,微信付款凭证,恐吓信件物证
406,敲诈勒索,保护伞调查,黑恶势力关联,团伙作案证据
407,敲诈勒索,威胁信件物证,恐吓电话录音,勒索金额确认
408,敲诈勒索,勒索短信恐吓,微信付款凭证,恐吓信件物证
409,敲诈勒索,受害者证词,心理恐惧证据,被迫支付记录
